10	40	34.59
10.01	29	34.55
10.02	41	34.51
10.03	32	34.46
10.04	35	34.42
10.05	29	34.38
10.06	30	34.34
10.07	37	34.3
10.08	32	34.26
10.09	35	34.22
10.1	41	34.18
10.11	31	34.15
10.12	44	34.11
10.13	35	34.07
10.14	31	34.04
10.15	34	34
10.16	46	33.97
10.17	38	33.93
10.18	35	33.9
10.19	29	33.87
10.2	46	33.83
10.21	37	33.8
10.22	32	33.77
10.23	41	33.74
10.24	27	33.71
10.25	36	33.68
10.26	31	33.65
10.27	33	33.62
10.28	35	33.59
10.29	42	33.56
10.3	45	33.53
10.31	34	33.51
10.32	29	33.48
10.33	41	33.45
10.34	20	33.43
10.35	29	33.4
10.36	31	33.37
10.37	30	33.35
10.38	35	33.33
10.39	31	33.3
10.4	40	33.28
10.41	39	33.25
10.42	36	33.23
10.43	39	33.21
10.44	30	33.19
10.45	21	33.17
10.46	34	33.14
10.47	24	33.12
10.48	33	33.1
10.49	30	33.08
10.5	28	33.06
10.51	27	33.04
10.52	29	33.03
10.53	33	33.01
10.54	36	32.99
10.55	29	32.97
10.56	29	32.95
10.57	42	32.93
10.58	35	32.92
10.59	32	32.9
10.6	41	32.88
10.61	38	32.87
10.62	36	32.85
10.63	33	32.84
10.64	39	32.82
10.65	32	32.81
10.66	39	32.79
10.67	31	32.78
10.68	42	32.76
10.69	34	32.75
10.7	36	32.74
10.71	33	32.72
10.72	36	32.71
10.73	34	32.7
10.74	27	32.69
10.75	29	32.67
10.76	33	32.66
10.77	32	32.65
10.78	36	32.64
10.79	36	32.63
10.8	31	32.62
10.81	30	32.61
10.82	38	32.6
10.83	29	32.59
10.84	26	32.58
10.85	38	32.57
10.86	34	32.56
10.87	37	32.55
10.88	32	32.54
10.89	34	32.53
10.9	29	32.52
10.91	27	32.51
10.92	36	32.5
10.93	42	32.5
10.94	34	32.49
10.95	35	32.48
10.96	37	32.47
10.97	28	32.47
10.98	26	32.46
10.99	28	32.45
11	25	32.45
11.01	35	32.44
11.02	28	32.43
11.03	29	32.43
11.04	27	32.42
11.05	32	32.41
11.06	33	32.41
11.07	49	32.4
11.08	39	32.4
11.09	26	32.39
11.1	39	32.39
11.11	31	32.38
11.12	44	32.38
11.13	31	32.37
11.14	34	32.37
11.15	40	32.37
11.16	38	32.36
11.17	43	32.36
11.18	22	32.35
11.19	36	32.35
11.2	35	32.35
11.21	28	32.34
11.22	39	32.34
11.23	34	32.34
11.24	28	32.33
11.25	31	32.33
11.26	33	32.33
11.27	31	32.33
11.28	33	32.32
11.29	31	32.32
11.3	32	32.32
11.31	41	32.32
11.32	46	32.32
11.33	41	32.31
11.34	30	32.31
11.35	38	32.31
11.36	36	32.31
11.37	30	32.31
11.38	28	32.31
11.39	37	32.31
11.4	34	32.3
11.41	34	32.3
11.42	36	32.3
11.43	39	32.3
11.44	39	32.3
11.45	42	32.3
11.46	39	32.3
11.47	36	32.3
11.48	28	32.3
11.49	30	32.3
11.5	45	32.3
11.51	34	32.3
11.52	37	32.3
11.53	39	32.3
11.54	42	32.3
11.55	34	32.3
11.56	31	32.3
11.57	26	32.3
11.58	33	32.3
11.59	39	32.3
11.6	43	32.3
11.61	32	32.3
11.62	28	32.3
11.63	41	32.31
11.64	34	32.31
11.65	38	32.31
11.66	32	32.31
11.67	35	32.31
11.68	38	32.31
11.69	33	32.31
11.7	35	32.31
11.71	28	32.31
11.72	36	32.32
11.73	34	32.32
11.74	39	32.32
11.75	46	32.32
11.76	31	32.32
11.77	43	32.32
11.78	36	32.33
11.79	28	32.33
11.8	33	32.33
11.81	29	32.33
11.82	40	32.33
11.83	39	32.34
11.84	33	32.34
11.85	26	32.34
11.86	22	32.34
11.87	27	32.34
11.88	41	32.35
11.89	34	32.35
11.9	26	32.35
11.91	36	32.35
11.92	30	32.36
11.93	43	32.36
11.94	31	32.36
11.95	26	32.36
11.96	38	32.37
11.97	33	32.37
11.98	25	32.37
11.99	32	32.37
12	45	32.38
12.01	28	32.38
12.02	42	32.38
12.03	38	32.39
12.04	35	32.39
12.05	25	32.39
12.06	25	32.39
12.07	28	32.4
12.08	33	32.4
12.09	25	32.4
12.1	33	32.41
12.11	34	32.41
12.12	35	32.41
12.13	41	32.41
12.14	49	32.42
12.15	28	32.42
12.16	35	32.42
12.17	49	32.43
12.18	33	32.43
12.19	33	32.43
12.2	31	32.44
12.21	40	32.44
12.22	31	32.44
12.23	36	32.45
12.24	33	32.45
12.25	46	32.45
12.26	45	32.46
12.27	37	32.46
12.28	40	32.46
12.29	46	32.47
12.3	42	32.47
12.31	40	32.47
12.32	45	32.48
12.33	39	32.48
12.34	45	32.48
12.35	31	32.49
12.36	44	32.49
12.37	47	32.49
12.38	43	32.5
12.39	48	32.5
12.4	42	32.51
12.41	55	32.51
12.42	48	32.51
12.43	43	32.52
12.44	45	32.52
12.45	45	32.52
12.46	61	32.53
12.47	60	32.53
12.48	64	32.53
12.49	86	32.54
12.5	82	32.54
12.51	74	32.55
12.52	87	32.55
12.53	94	32.55
12.54	102	32.56
12.55	114	32.56
12.56	122	32.56
12.57	165	32.57
12.58	159	32.57
12.59	168	32.57
12.6	154	32.58
12.61	143	32.58
12.62	122	32.59
12.63	122	32.59
12.64	84	32.59
12.65	76	32.6
12.66	74	32.6
12.67	50	32.6
12.68	42	32.61
12.69	45	32.61
12.7	59	32.62
12.71	48	32.62
12.72	54	32.62
12.73	51	32.63
12.74	66	32.63
12.75	70	32.63
12.76	56	32.64
12.77	60	32.64
12.78	75	32.64
12.79	64	32.65
